epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2886.08,0.55369,0.57748,0.93437,0.96621,0.92893,0.97475,0.85671,0.49881,0.3805,0.85416,0.000671912,0.000223971,0.000671912,0.000223971,0.000671912,0.000223971,0.000671912,0.000223971
31,2981.91,0.5453,0.56385,0.92876,0.96314,0.92868,0.9731,0.85876,0.4927,0.3828,0.8547,0.000640668,0.000213556,0.000640668,0.000213556,0.000640668,0.000213556,0.000640668,0.000213556
32,3078.69,0.54675,0.56592,0.93214,0.96426,0.93126,0.97524,0.85779,0.49473,0.37983,0.85466,0.000609424,0.000203141,0.000609424,0.000203141,0.000609424,0.000203141,0.000609424,0.000203141
33,3174.14,0.54406,0.55783,0.93067,0.96958,0.93002,0.97704,0.85825,0.49727,0.37223,0.8555,0.000578179,0.000192726,0.000578179,0.000192726,0.000578179,0.000192726,0.000578179,0.000192726
34,3271.3,0.54187,0.5534,0.92883,0.96686,0.93459,0.9757,0.85852,0.49425,0.37359,0.85324,0.000546935,0.000182312,0.000546935,0.000182312,0.000546935,0.000182312,0.000546935,0.000182312
35,3368.05,0.53895,0.55037,0.92744,0.96655,0.93471,0.9755,0.85522,0.49759,0.37135,0.85407,0.00051569,0.000171897,0.00051569,0.000171897,0.00051569,0.000171897,0.00051569,0.000171897
36,3463.65,0.54061,0.54746,0.93085,0.96963,0.9225,0.97459,0.85736,0.49572,0.3735,0.85285,0.000484446,0.000161482,0.000484446,0.000161482,0.000484446,0.000161482,0.000484446,0.000161482
37,3557.8,0.54052,0.54089,0.92941,0.96546,0.93318,0.97558,0.86137,0.49143,0.36631,0.85291,0.000453202,0.000151067,0.000453202,0.000151067,0.000453202,0.000151067,0.000453202,0.000151067
38,3653.97,0.53372,0.53748,0.92668,0.96802,0.93758,0.9758,0.8597,0.49242,0.36419,0.85364,0.000421957,0.000140652,0.000421957,0.000140652,0.000421957,0.000140652,0.000421957,0.000140652
39,3748.8,0.53451,0.53679,0.92843,0.96277,0.93895,0.97537,0.86063,0.49235,0.36502,0.85311,0.000390713,0.000130238,0.000390713,0.000130238,0.000390713,0.000130238,0.000390713,0.000130238
40,3843.17,0.53354,0.53388,0.92605,0.97018,0.9305,0.97516,0.86224,0.4876,0.3669,0.85283,0.000359468,0.000119823,0.000359468,0.000119823,0.000359468,0.000119823,0.000359468,0.000119823
41,3939.28,0.41978,0.46741,0.85708,0.9572,0.9285,0.97226,0.85588,0.49237,0.37446,0.85716,0.000328224,0.000109408,0.000328224,0.000109408,0.000328224,0.000109408,0.000328224,0.000109408
42,4030.94,0.40824,0.44886,0.85188,0.96605,0.92553,0.97211,0.85891,0.48997,0.37407,0.85477,0.00029698,9.89932e-05,0.00029698,9.89932e-05,0.00029698,9.89932e-05,0.00029698,9.89932e-05
43,4121.52,0.4082,0.44443,0.85343,0.96689,0.93512,0.97435,0.85863,0.49426,0.37036,0.85493,0.000265735,8.85784e-05,0.000265735,8.85784e-05,0.000265735,8.85784e-05,0.000265735,8.85784e-05
44,4214.21,0.40685,0.44247,0.85296,0.97122,0.92496,0.97331,0.85971,0.48747,0.36638,0.85365,0.000234491,7.81636e-05,0.000234491,7.81636e-05,0.000234491,7.81636e-05,0.000234491,7.81636e-05
45,4306.41,0.40178,0.43539,0.85253,0.96642,0.93392,0.9743,0.86107,0.48506,0.36036,0.85274,0.000203246,6.77488e-05,0.000203246,6.77488e-05,0.000203246,6.77488e-05,0.000203246,6.77488e-05
46,4397.24,0.40073,0.43344,0.85043,0.97235,0.92577,0.97428,0.86039,0.48688,0.36281,0.85268,0.000172002,5.7334e-05,0.000172002,5.7334e-05,0.000172002,5.7334e-05,0.000172002,5.7334e-05
47,4489.4,0.39825,0.42701,0.84902,0.96576,0.93286,0.97444,0.86051,0.48898,0.36056,0.85296,0.000140758,4.69192e-05,0.000140758,4.69192e-05,0.000140758,4.69192e-05,0.000140758,4.69192e-05
48,4582.65,0.39977,0.4289,0.85113,0.97029,0.92931,0.97562,0.86102,0.48901,0.36002,0.85274,0.000109513,3.65044e-05,0.000109513,3.65044e-05,0.000109513,3.65044e-05,0.000109513,3.65044e-05
49,4676.55,0.3948,0.42718,0.84794,0.96572,0.93553,0.9757,0.86181,0.48892,0.35905,0.85244,7.82688e-05,2.60896e-05,7.82688e-05,2.60896e-05,7.82688e-05,2.60896e-05,7.82688e-05,2.60896e-05
50,4768.78,0.3949,0.42445,0.84794,0.96871,0.93516,0.97566,0.86145,0.48759,0.35741,0.85257,4.70244e-05,1.56748e-05,4.70244e-05,1.56748e-05,4.70244e-05,1.56748e-05,4.70244e-05,1.56748e-05
